asset_id,original_backup_path,original_asset_path,webp_asset_path,webp_status,width,height,source_type,source_title,source_date,description,reference_count
cfs-image-0076,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1059535070767468.jpg,assets/images/original/cfs-image-0076.jpg,assets/images/webp/cfs-image-0076.webp,ok,960,540,uncategorized_photo,未分類写真,2016-07-20 19:38,,1
cfs-image-0077,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1059535087434133.jpg,assets/images/original/cfs-image-0077.jpg,assets/images/webp/cfs-image-0077.webp,ok,960,540,uncategorized_photo,未分類写真,2016-07-20 19:38,,1
cfs-image-0078,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1063803743673934.jpg,assets/images/original/cfs-image-0078.jpg,assets/images/webp/cfs-image-0078.webp,ok,2048,1055,uncategorized_photo,未分類写真,2016-07-27 20:12,,1
cfs-image-0079,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1065575380163437.jpg,assets/images/original/cfs-image-0079.jpg,assets/images/webp/cfs-image-0079.webp,ok,528,960,uncategorized_photo,未分類写真,2016-07-30 14:49,【フードデザートマップ#2】 赤の領域が65才以上の高齢者の住むフードデザートエリア。,1
cfs-image-0080,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1065583873495921.jpg,assets/images/original/cfs-image-0080.jpg,assets/images/webp/cfs-image-0080.webp,ok,528,960,uncategorized_photo,未分類写真,2016-07-30 15:02,【ナチュラルヒーリングマッブ#1】 ナチュラルヒーリングマッブのベースマップ。,1
cfs-image-0081,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1065672290153746.jpg,assets/images/original/cfs-image-0081.jpg,assets/images/webp/cfs-image-0081.webp,ok,960,540,uncategorized_photo,未分類写真,2016-07-30 19:26,本日の集合写真です。,1
cfs-image-0082,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1094575997263375.jpg,assets/images/original/cfs-image-0082.jpg,assets/images/webp/cfs-image-0082.webp,ok,842,595,uncategorized_photo,未分類写真,2016-09-07 12:07,,1
cfs-image-0083,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1094577570596551.jpg,assets/images/original/cfs-image-0083.jpg,assets/images/webp/cfs-image-0083.webp,ok,960,549,uncategorized_photo,未分類写真,2016-09-07 12:11,,1
cfs-image-0084,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1097164507004524.jpg,assets/images/original/cfs-image-0084.jpg,assets/images/webp/cfs-image-0084.webp,ok,960,540,uncategorized_photo,未分類写真,2016-09-10 17:44,,1
cfs-image-0085,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1097164573671184.jpg,assets/images/original/cfs-image-0085.jpg,assets/images/webp/cfs-image-0085.webp,ok,528,960,uncategorized_photo,未分類写真,2016-09-10 17:44,,1
cfs-image-0086,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1097165400337768.jpg,assets/images/original/cfs-image-0086.jpg,assets/images/webp/cfs-image-0086.webp,ok,528,960,uncategorized_photo,未分類写真,2016-09-10 17:46,【ナチュラルヒーリングマッブ#1】7月30日のハッカソンの成果から ナチュラルヒーリングマッブのベースマップはこのように。,1
cfs-image-0087,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1097224660331842.jpg,assets/images/original/cfs-image-0087.jpg,assets/images/webp/cfs-image-0087.webp,ok,842,595,uncategorized_photo,未分類写真,2016-09-10 19:47,,1
